OrderID,Region,Product,SalesRep,Units,UnitPrice,TotalSales,Discount(%),Profit,OrderDate
1,North,Printer,Ali,5,1089,5445,20,695.1161345881101,2024-10-05
2,West,Mouse,John,43,1361,58523,20,5772.97964999769,2024-05-27
3,North,Monitor,John,34,928,31552,20,2716.1697329486833,2024-06-23
4,West,Mouse,Emma,37,415,15355,20,1931.7538653718416,2020-01-23
5,East,Mouse,Emma,25,432,10800,10,1475.1362259742352,2022-12-14
6,East,Smartphone,Sara,19,1499,28481,20,7783.797407277467,2022-03-10
7,South,Laptop,Sara,38,1412,53656,5,11557.201938483706,2023-12-18
8,North,Mouse,Ali,50,1702,85100,5,31425.03512858143,2022-12-10
9,South,Printer,Sophia,36,1610,57960,0,11477.477814763368,2020-09-14
10,South,Smartphone,John,31,390,12090,5,4344.923356514781,2021-11-09
11,West,Tablet,Sophia,14,1400,19600,15,3451.1966495456695,2022-04-07
12,West,Monitor,Emma,20,1200,24000,0,8783.71746951457,2020-04-21
13,South,Printer,Sara,13,738,9594,20,2509.954836093254,2022-02-19
14,East,Keyboard,Emma,5,1638,8190,20,850.3877126059357,2022-08-15
15,North,Mouse,Sara,28,1271,35588,0,13393.629238869717,2023-12-10
16,North,Printer,Sara,45,920,41400,15,5092.366937680322,2023-11-22
17,South,Monitor,Emma,48,1761,84528,5,28380.072463449218,2020-07-10
18,East,Laptop,Hamza,41,1879,77039,0,17032.733754012068,2020-12-26
19,North,Mouse,John,40,1220,48800,20,14368.248596565103,2022-07-02
20,East,Monitor,Emma,47,1012,47564,15,5624.1827114075595,2020-10-02
21,South,Printer,Emma,27,719,19413,15,5933.932296819994,2022-09-21
22,North,Printer,Ali,34,881,29954,5,4311.30311538071,2023-07-24
23,West,Keyboard,Sara,18,400,7200,20,1408.2204426812687,2020-03-15
24,South,Mouse,Emma,23,205,4715,5,1381.403729113492,2021-08-30
25,South,Keyboard,Hamza,9,1454,13086,5,2258.8480798024825,2024-10-24
26,South,Laptop,David,31,631,19561,20,4190.090363876509,2021-01-14
27,East,Tablet,Emma,4,495,1980,20,617.4618840545697,2021-02-09
28,West,Printer,Hamza,41,1827,74907,20,18255.378499026163,2020-03-30
29,West,Smartphone,David,5,428,2140,10,214.83240804109647,2024-02-24
30,East,Keyboard,David,46,342,15732,20,1751.9770546532604,2023-01-03
31,North,Tablet,David,43,1594,68542,10,21795.62814950796,2023-06-11
32,West,Smartphone,Hamza,3,1790,5370,15,912.0731373654012,2021-08-27
33,West,Printer,Sophia,20,1391,27820,0,4874.976219876379,2020-10-07
34,West,Laptop,Sara,34,1351,45934,10,6915.633530960672,2024-12-19
35,East,Keyboard,John,16,1062,16992,15,1487.915946962745,2023-09-25
36,West,Mouse,Sophia,27,1194,32238,0,7893.993960244074,2022-02-13
37,West,Printer,David,23,1758,40434,0,15855.2349894533,2024-08-05
38,East,Printer,Hamza,18,860,15480,15,1318.9716859883326,2024-04-20
39,West,Laptop,Sara,18,816,14688,20,4664.449755845317,2023-02-16
40,East,Laptop,Hamza,24,1502,36048,10,5669.684497222349,2023-11-17
41,East,Laptop,John,34,667,22678,10,7857.631944242875,2020-07-23
42,South,Keyboard,Hamza,46,555,25530,15,5087.240868437828,2024-03-01
43,East,Laptop,John,39,1268,49452,5,6271.625019547088,2023-12-16
44,West,Mouse,Hamza,48,562,26976,0,7875.909766636942,2023-12-04
45,North,Laptop,Hamza,37,553,20461,5,4110.585873716575,2023-10-29
46,West,Smartphone,Hamza,32,1128,36096,0,5042.365514010385,2022-02-13
47,North,Monitor,John,23,142,3266,10,1036.5135378928026,2021-06-05
48,East,Printer,David,46,1895,87170,10,10970.78718876812,2020-05-24
49,South,Tablet,John,30,1084,32520,20,5716.650938568923,2024-09-10
50,East,Laptop,Ali,2,298,596,0,232.7513204833276,2022-04-16
51,South,Laptop,Emma,49,1470,72030,0,11881.51654060679,2020-05-01
52,South,Mouse,John,15,652,9780,15,3249.8560051019194,2021-11-01
53,South,Keyboard,Hamza,39,210,8190,10,1652.8977980455572,2024-11-05
54,North,Smartphone,Ali,20,1081,21620,5,6469.496645771701,2024-10-22
55,South,Printer,Emma,42,1794,75348,0,8184.017543125356,2024-12-14
56,North,Keyboard,John,42,431,18102,5,5619.882411718006,2020-10-11
57,East,Smartphone,Sophia,12,261,3132,0,884.3515185288009,2023-09-10
58,North,Mouse,Sophia,17,547,9299,0,3135.660309152954,2022-01-25
59,North,Printer,Sophia,3,1295,3885,10,350.5998994986947,2021-04-21
60,North,Keyboard,David,19,1843,35017,10,10109.539719546383,2020-07-13
61,East,Smartphone,Emma,6,1014,6084,5,660.2169251467852,2022-04-27
62,East,Printer,Sophia,49,1436,70364,20,15205.856902930962,2020-09-15
63,West,Printer,David,46,1444,66424,20,8995.11496392751,2022-08-26
64,East,Laptop,Sara,3,1203,3609,20,471.2277390657291,2022-04-01
65,West,Laptop,Sophia,21,1009,21189,5,7153.235577337233,2024-12-21
66,South,Monitor,Hamza,18,1695,30510,5,8908.80097488001,2023-03-30
67,East,Monitor,Sophia,14,221,3094,0,622.1449094682172,2021-10-07
68,South,Smartphone,Sophia,44,1227,53988,20,10027.799008256052,2021-10-17
69,South,Tablet,Sara,46,186,8556,20,1781.9270561274718,2022-03-16
70,East,Printer,John,25,1806,45150,5,6805.455159933478,2024-11-05
71,North,Laptop,Sophia,46,1333,61318,10,15726.843176301712,2023-08-09
72,East,Keyboard,Ali,46,461,21206,15,6779.4528594365975,2020-12-10
73,West,Keyboard,Sara,23,1681,38663,10,6285.472996099906,2024-05-26
74,North,Keyboard,Sara,23,1016,23368,0,2582.949071221825,2022-11-10
75,South,Keyboard,Sara,1,1376,1376,5,509.25336734750437,2023-05-23
76,East,Tablet,John,40,1509,60360,5,11183.760233691857,2024-08-03
77,East,Printer,David,5,1641,8205,5,2063.327323085073,2020-06-15
78,East,Smartphone,Emma,41,945,38745,15,10676.128271192703,2024-06-07
79,North,Printer,Sara,30,1464,43920,20,3902.3617700078944,2020-04-08
80,West,Laptop,David,8,1457,11656,0,2529.3328148928176,2022-03-02
81,West,Printer,Hamza,47,598,28106,5,10607.500945351265,2023-08-03
82,East,Printer,David,2,737,1474,5,418.953979640478,2023-01-29
83,South,Keyboard,Sara,45,1087,48915,0,9667.978827412879,2021-09-22
84,South,Mouse,David,7,634,4438,0,605.1803853411766,2024-02-11
85,South,Mouse,David,45,1721,77445,10,26461.369356113675,2023-04-18
86,North,Laptop,John,44,1339,58916,0,10031.060973770116,2023-12-12
87,East,Laptop,Sophia,22,976,21472,5,6698.5512263729315,2021-06-18
88,East,Printer,Sara,22,440,9680,0,2010.0019894068935,2022-11-12
89,South,Keyboard,Sophia,42,901,37842,20,8395.141187879908,2024-12-11
90,South,Mouse,Ali,2,1086,2172,20,245.53261373864567,2024-08-23
91,East,Laptop,John,39,354,13806,10,3921.385671412175,2020-12-21
92,East,Mouse,David,16,761,12176,15,3668.6012725194005,2021-04-09
93,East,Smartphone,Hamza,24,1456,34944,5,8841.417644018098,2024-07-17
